Address,Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
"Ðý?ng An Dýõng Výõng, Phý?ng Phú Thý?ng, Tây H?, Hà N?i",72,5.6,3.5,,,1,,,Have certificate,Basic,10
"D? án The Empire - Vinhomes Ocean Park 2, X? Long Hýng, Vãn Giang, Hýng Yên",78,6,13,Ðông - Nam,Ðông - Nam,4,6,6,Have certificate,Basic,8.63
"Ðý?ng 12, Phý?ng Hi?p B?nh Phý?c, Th? Ð?c, H? Chí Minh",68,,,Ðông - B?c,,3,4,6,Have certificate,,6.5
"Ðý?ng Ph?m Vãn Chiêu, Phý?ng 9, G? V?p, H? Chí Minh",43,,4,Ðông - Nam,,3,3,3,Have certificate,Full,5.85
"Ng? 132, Ðý?ng C?u Gi?y, Phý?ng Quan Hoa, C?u Gi?y, Hà N?i",32.8,4.5,6,,,5,,,Have certificate,,7.5
"D? án Sun Casa Central, Ðý?ng Dân Ch?, X? V?nh Tân, Tân Uyên, B?nh Dýõng",168,,,,,2,4,4,,,5.2
"D? án Hoàng Nam Uyên Hýng, Ðý?ng T? H?u, Phý?ng Uyên Hýng, Tân Uyên, B?nh Dýõng",72,17,36,,,2,2,2,Have certificate,,2
"D? án The Empire - Vinhomes Ocean Park 2, X? Long Hýng, Vãn Giang, Hýng Yên",70,5,13,Tây - Nam,Tây - Nam,5,6,4,Sale contract,,8.5
"D? án The Crown - Vinhomes Ocean Park 3, Huy?n Vãn Giang, Hýng Yên",75,5,13,Tây - Nam,Tây - Nam,5,5,4,Sale contract,,8.1
"D? án The Crown - Vinhomes Ocean Park 3, X? Ngh?a Tr?, Vãn Giang, Hýng Yên",80,5,,,Ðông - Nam,5,,,Sale contract,,9
"X? L?i Thý?ng, Th?ch Th?t, Hà N?i",378,,,,,2,3,3,Have certificate,Full,7.8
"D? án Sông H?ng Diamond City, Ðý?ng 379, X? Yên Phú, Yên M?, Hýng Yên",88,5.5,11.5,Ðông - Nam,Tây - B?c,5,4,4,Have certificate,,6.5
"Ðý?ng Phú M?, Phý?ng M? Ð?nh 1, Nam T? Liêm, Hà N?i.",54,5.8,3,Tây - B?c,Tây - B?c,4,6,6,Have certificate,Full,8.8
"Ðý?ng La Phù, X? La Phù, Hoài Ð?c, Hà N?i",36,3.8,2.2,Nam,,5,,,Have certificate,Basic,3.85
"Ðý?ng Nguy?n Khang, Phý?ng Yên H?a, C?u Gi?y, Hà N?i",41,,3.5,,,5,4,4,Have certificate,Full,10
"Yên Ngh?a, Hà Ðông, Hà N?i",35,,,,,4,3,3,Have certificate,Basic,2.9
"D? án The Beverly - Vinhomes Grand Park, Ðý?ng 108, Phý?ng Long Th?nh M?, Qu?n 9, H? Chí Minh",46,,30,Ðông - B?c,Ðông - B?c,,1,1,Sale contract,Basic,4.3
"Ðý?ng Qu?c L? 17B, Phý?ng Minh Tân, Kinh Môn, H?i Dýõng",180,10,,,,4,3,3,Have certificate,Full,5.3
"Ph?ng Châu, Chýõng M?, Hà N?i",38,,,,,3,3,3,Have certificate,Full,2.1
"Ðý?ng Tãng B?t H?, Phý?ng 11, B?nh Th?nh, H? Chí Minh",45,5,6,B?c,B?c,3,3,4,Have certificate,,5.95
"D? án Waterpoint, Ðý?ng T?nh l? 824, X? An Th?nh, B?n L?c, Long An",90,6,,Nam,Nam,2,4,3,Sale contract,,3.2
"D? án Sông H?ng Diamond City, Ðý?ng 379, X? Yên Phú, Yên M?, Hýng Yên",88,5.5,17,Ðông - Nam,Ðông - Nam,5,4,4,Sale contract,,6.6
"D? án The Standard, Ðý?ng Tân Phý?c Khánh 10, Phý?ng Tân Phý?c Khánh, Tân Uyên, B?nh Dýõng",85,,,,,,4,5,Have certificate,,5.9
"D? án V?n Xuân Tam B?nh, Ðý?ng 7, Phý?ng Tam B?nh, Th? Ð?c, H? Chí Minh",143.9,,,,,4,4,5,,,9.5
"D? án Him Lam Thý?ng Tín, Ðý?ng Tr?n Phú, Th? tr?n Thý?ng Tín, Thý?ng Tín, Hà N?i",81.3,,,,,5,,,,,9.7
"D? án Sông H?ng Diamond City, Ðý?ng 379, X? Yên Phú, Yên M?, Hýng Yên",88,,,,,4,,,Sale contract,,6.7
"H?m 482/9, Ðý?ng Nõ Trang Long, Phý?ng 13, B?nh Th?nh, H? Chí Minh",38,,,,,2,1,1,,,4.1
"Ðý?ng Nhiêu T?, Phý?ng 7, Phú Nhu?n, H? Chí Minh",40,4.1,6,Tây - Nam,Tây - Nam,4,3,4,Have certificate,,7.7
"Ðý?ng Qu?c L? 22, Phý?ng Trung M? Tây, Qu?n 12, H? Chí Minh",113,,,,,,,,Have certificate,,6.2
"D? án Phú Cý?ng, Ðý?ng 3/2, Phý?ng An H?a, R?ch Giá, Kiên Giang",150,5,29,Tây,Tây,2,,,Sale contract,,4.9
"Ðý?ng Nguy?n Trung Tr?c, Phý?ng 5, B?nh Th?nh, H? Chí Minh",69.1,4,4.5,Ðông - B?c,Ðông - B?c,3,3,4,Have certificate,Full,10
"D? án Centana City Ði?n Phúc Thành, Phý?ng Long Trý?ng, Qu?n 9, H? Chí Minh",100,5,,Ðông - Nam,,3,5,3,,,8.1
"Ðý?ng Hu?nh Vãn Bánh, Phý?ng 12, Phú Nhu?n, H? Chí Minh",30,,6,,,3,,,Have certificate,Full,7.15
"D? án The Standard, Ðý?ng Tân Phý?c Khánh 10, Phý?ng Tân Phý?c Khánh, Tân Uyên, B?nh Dýõng",85,,,,,3,4,4,Have certificate,,5.9
"D? án The Crown - Vinhomes Ocean Park 3, X? Ngh?a Tr?, Vãn Giang, Hýng Yên",54,,,Tây - B?c,,,,,,,8.15
"Ng? 401, Ðý?ng Xuân Ð?nh, Phý?ng Xuân Ð?nh, B?c T? Liêm, Hà N?i",52.7,7,3,,,5,6,,,Full,7.6
"Ðý?ng Ðào T?n, Phý?ng Côìng Viò, Ba Ð?nh, Hà N?i",73,5,,,,4,4,4,,,9.5
"D? án Him Lam Thý?ng Tín, Ðý?ng Tr?n Phú, Th? tr?n Thý?ng Tín, Thý?ng Tín, Hà N?i",80,,,,,,,,Have certificate,,10
"D? án NovaWorld Phan Thi?t, Ðý?ng L?c Long Quân, X? Ti?n Thành, Phan Thi?t, B?nh Thu?n",120,,,,,2,3,3,,,3.1
"D? án Itaewon An Dýõng, Ðý?ng Qu?c L? 10, X? Lê L?i, An Dýõng, H?i Ph?ng",82.5,,15.5,Tây - B?c,,4,4,3,,,5.71
"Ng? 7, Ph? Thái Hà, Phý?ng Trung Liêòt, Ð?ng Ða, Hà N?i",52,4,3,,,4,4,4,,,6.5
"Ph? Thái Hà, Phý?ng Trung Liêòt, Ð?ng Ða, Hà N?i",45,6,3,,,4,4,4,Have certificate,,7.65
"D? án NovaWorld Phan Thi?t, Ðý?ng L?c Long Quân, X? Ti?n Thành, Phan Thi?t, B?nh Thu?n",200,10,13,Ðông - Nam,Tây - B?c,2,3,3,Sale contract,,5.6
"D? án HUD Me Linh Central, X? Thanh Lâm, Mê Linh, Hà N?i",120,,,,,3,4,3,,,8.4
"240/, Ðý?ng Hi?p Thành 13, Phý?ng Hi?p Thành, Qu?n 12, H? Chí Minh",64,4,,,,3,4,3,Have certificate,,4.7
"Ðý?ng Nguy?n Tr?i, Phý?ng Nhân Chính, Thanh Xuân, Hà N?i",50,3.7,3.5,,,5,7,6,Have certificate,,8.9
"Ðý?ng Quang Ti?n, Phý?ng Ð?i M?, Nam T? Liêm, Hà N?i.",36,7,3,Tây - Nam,Tây - Nam,5,3,4,Have certificate,Full,5.6
"D? án Vý?n Vua Resort & Villas, Ðý?ng Trung Th?nh, X? Ð?ng Trung, Thanh Th?y, Phú Th?",368,,,,,,,,,,6.3
"D? án Sông H?ng Diamond City, Ðý?ng 379, X? Yên Phú, Yên M?, Hýng Yên",88,,,,,4,,,,,6.6
"D? án Dream Home Palace, Ðý?ng Tr?nh Quang Ngh?, Phý?ng 7, Qu?n 8, H? Chí Minh",156,,,,,2,,,Sale contract,,7.8
"D? án Florence M? Ð?nh, Ðý?ng Tr?n H?u D?c, Th? tr?n C?u Di?n, Nam T? Liêm, Hà N?i.",99.4,4,,Ðông - B?c,Ðông - B?c,2,,2,Have certificate,Full,9.5
"Ðý?ng M? Lao, Phý?ng Vãn Quán, Hà Ðông, Hà N?i",33,,,Tây - Nam,,5,,,Have certificate,Basic,4.95
"D? án Thanh Hà Mý?ng Thanh, Phý?ng Ki?n Hýng, Hà Ðông, Hà N?i",100,,,,,,,,,,7.5
"Ðý?ng T? H?u, Phý?ng Yên Ngh?a, Hà Ðông, Hà N?i",34,,2,,,4,3,,,Full,2.9
"D? án Ðông Tãng Long, Ðý?ng Nguy?n Duy Trinh, Phý?ng Trý?ng Th?nh, Qu?n 9, H? Chí Minh",100,20,12,B?c,B?c,3,4,5,Have certificate,Basic,6.5
"D? án Sun Group Hà Nam, Ðý?ng Qu?c l? 1A, X? Tiên Hi?p, Ph? L?, Hà Nam",60,8,15,,,4,5,5,Have certificate,,4.5
"D? án Phú M? Estates, Ðý?ng H?c D?ch - Tóc Tiên, Phý?ng H?c D?ch, Phú M?, Bà R?a V?ng Tàu",85,,,,,4,4,6,Have certificate,,4.2
"Ðý?ng Ph?m Vãn Hai, Phý?ng 3, Tân B?nh, H? Chí Minh giá 2t?380",74.02,5.3,5,,,3,,,Have certificate,Full,2.38
"D? án The Empire - Vinhomes Ocean Park 2, X? Long Hýng, Vãn Giang, Hýng Yên",62.5,5,,,,5,,,Have certificate,,7.5
"D? án Him Lam Thý?ng Tín, Ðý?ng ÐT 427B, Th? tr?n Thý?ng Tín, Thý?ng Tín, Hà N?i",87,5,33,Ðông - Nam,Tây - B?c,5,5,5,Have certificate,,10
"D16/22/ ?p 4b, X? V?nh L?c B, B?nh Chánh, H? Chí Minh",56,5,5,B?c,,,,,,,2.7
"D? án Waterpoint, Ðý?ng T?nh l? 824, X? An Th?nh, B?n L?c, Long An",90,,,B?c,,,3,,,,5.5
"D? án D-Aqua, Ðý?ng B?n B?nh Ðông, Phý?ng 14, Qu?n 8, H? Chí Minh",58,,,,,,,,Sale contract,Basic,4.61
"Ph? Trung Kính, Phý?ng Trung H?a, C?u Gi?y, Hà N?i",35,5,2,,,5,5,4,Have certificate,Full,6.85
"H?m 350, Ðý?ng Nguy?n Vãn Lý?ng, Phý?ng 16, G? V?p, H? Chí Minh",50.4,,5,,,3,4,4,Have certificate,Basic,3.75
"H?m 36/ B?nh Gi?, Phý?ng 13, Tân B?nh, H? Chí Minh",54,,5,,,3,4,4,Have certificate,Full,4.3
"HXH 330/, Ðý?ng Phan Ð?nh Phùng, Phý?ng 1, Phú Nhu?n, H? Chí Minh",57.4,,,,,3,3,2,Have certificate,Basic,4.05
"S? 9 ng? 197, Ðý?ng Lâm Du, Phý?ng B? Ð?, Long Biên, Hà N?i",56,3.82,2.5,Ðông - Nam,,5,6,5,Have certificate,Full,6.5
"Ðý?ng L?c H?u, X? M? L?c, C?n Giu?c, Long An",151,4,6,Tây,Tây,2,4,3,Have certificate,Full,3.2
"Ðý?ng Nguy?n Thý?ng Hi?n, Phý?ng 5, B?nh Th?nh, H? Chí Minh",51.75,4.5,6,Tây - Nam,Tây - Nam,4,4,5,Have certificate,,9.2
"Ðý?ng Ái M?, Phý?ng B? Ð?, Long Biên, Hà N?i",27,4,10,,,5,4,5,Have certificate,Full,7.65
"D? án Melosa Garden, Ðý?ng Vành Ðai Trong, Phý?ng Phú H?u, Qu?n 9, H? Chí Minh",115,,,,,,,,,Full,9.55
"D? án Him Lam Thý?ng Tín, Ðý?ng Tr?n Phú, Th? tr?n Thý?ng Tín, Thý?ng Tín, Hà N?i",81,,18.5,,,5,,,,,9.9
"D? án The Standard, Ðý?ng Tân Phý?c Khánh 10, Phý?ng Tân Phý?c Khánh, Tân Uyên, B?nh Dýõng",102.8,7,18,Ðông - Nam,,2,4,4,,,5.6
"D? án The Empire - Vinhomes Ocean Park 2, Huy?n Vãn Giang, Hýng Yên",48,,,,,,,,Have certificate,,5.8
"Phý?ng 11, Tân B?nh, H? Chí Minh",55,4.5,5,,,,,,,,6.8
"H?m 47/, Ðý?ng Nguy?n Vãn Ð?u, Phý?ng 6, B?nh Th?nh, H? Chí Minh",56.25,4.5,5,,,3,4,3,Have certificate,Basic,4.29
"30/2, Ðý?ng S? 47, Phý?ng Hi?p B?nh Chánh, Th? Ð?c, H? Chí Minh",65,,,,,2,3,3,,,4
"Ðý?ng Lê Vãn Qu?i, Phý?ng B?nh Tr? Ðông A, B?nh Tân, H? Chí Minh",80,8,8,Nam,Nam,5,5,6,,,6.5
"D? án The Crown - Vinhomes Ocean Park 3, X? Ngh?a Tr?, Vãn Giang, Hýng Yên",60,4,,Tây - Nam,Ðông - B?c,,,,Sale contract,,7
"Ph? Yên Duyên, Phý?ng Yên S?, Hoàng Mai, Hà N?i",33,3,2,Tây - B?c,Tây - B?c,5,3,4,Have certificate,Full,4.48
"Ðý?ng Nguy?n Ð?nh Chính, Phý?ng 11, Phú Nhu?n, H? Chí Minh",38,4.2,6,Ðông - B?c,Ðông - B?c,4,3,4,Have certificate,Full,6.78
"D? án Phú Cý?ng, R?ch Giá, Kiên Giang",150,5,38,Tây,Tây,,,,Sale contract,,4.9
"D? án Ny'ah BiÌnh Tây, Ðý?ng Nguy?n Vãn Luông, Phý?ng 11, Qu?n 6, H? Chí Minh",42,,,,,3,2,,Have certificate,,6.5
"D? án The Crown - Vinhomes Ocean Park 3, X? Ngh?a Tr?, Vãn Giang, Hýng Yên",60,,,,,,,,,,7
"Ph? Khâm Thiên, Phý?ng ThôÒ Quan, Ð?ng Ða, Hà N?i",30,3.4,3,,,6,4,5,,Full,5.65
"D? án The Crown - Vinhomes Ocean Park 3, X? Ngh?a Tr?, Vãn Giang, Hýng Yên",78,6,13,Tây - B?c,,5,,,,,9.8
"Ðý?ng Tr?n Quang Di?u, Phý?ng 14, Qu?n 3, H? Chí Minh",43.5,,2,Tây - Nam,Tây - Nam,4,3,4,Have certificate,Basic,6.2
"189/16, Ðý?ng L? Thái T?, Phý?ng 9, Qu?n 10, H? Chí Minh",23.9,3.5,,,,2,2,2,,,4.2
"Ðý?ng Lê Tr?ng T?n, Phý?ng B?nh Hýng H?a, B?nh Tân, H? Chí Minh",78.7,4,,Ðông - Nam,,,,,Have certificate,,5.5
"Ðý?ng 17, Phý?ng Tân Hi?p, Tân Uyên, B?nh Dýõng",67.5,,,,,,,,,,2.18
"Ðý?ng Trýõng V?nh K?, Phý?ng Tân Sõn Nh?, Tân Phú, H? Chí Minh",72,4,5,,,2,4,4,Have certificate,Full,6.7
"Ðý?ng Ðê M?i, X? Ph?ng Châu, Chýõng M?, Hà N?i",60,,3,,,4,4,3,Have certificate,Basic,2.65
"D? án PiCity High Park, Ðý?ng Th?nh Xuân 13, Phý?ng Th?nh Xuân, Qu?n 12, H? Chí Minh",200,,,,,2,3,3,,,10
"Ph? L? Ðúc, Phý?ng Ðôìng Maìc, Hai Bà Trýng, Hà N?i",36,4,3,,,5,4,4,Have certificate,Basic,6
"D? án Melosa Garden, Ðý?ng Vành Ðai Trong, Phý?ng Phú H?u, Qu?n 9, H? Chí Minh",100,,20,Nam,Nam,3,4,4,Have certificate,Full,8.49
"D? án Eco City Premia, Phý?ng Tân An, Buôn Ma Thu?t, Ð?k L?k.",120,6,30,,,4,,,Have certificate,,5.85
"X? V?nh Qu?nh, Thanh Tr?, Hà N?i",78,,,,,3,3,3,Have certificate,Full,5.8
"Ðý?ng Hu?nh T?n Phát, Phý?ng Tân Thu?n Ðông, Qu?n 7, H? Chí Minh",132,4,8,,,2,3,2,,,7
"Ðý?ng Hu?nh T?n Phát, Phý?ng Phú Thu?n, Qu?n 7, H? Chí Minh",102,,3,,,1,2,1,Have certificate,,6.8
"Ðý?ng Hu?nh T?n Phát, Phý?ng Tân Thu?n Ðông, Qu?n 7, H? Chí Minh",101,7.1,2.5,,,3,4,3,Have certificate,,6.6
"Ðý?ng S? 8, Phý?ng 11, G? V?p, H? Chí Minh",81,8,8,B?c,B?c,1,1,1,,,5.8
"Ðý?ng ? La, Phý?ng Dýõng N?i, Hà Ðông, Hà N?i",35,,,,,5,4,3,Have certificate,,3.5
"D? án Mega Ruby, Ðý?ng V? Chí Công, Phý?ng Phú H?u, Qu?n 9, H? Chí Minh",75,5,24,,,3,3,3,Have certificate,Full,7.7
"Ðý?ng Tân K? Tân Qu?, Phý?ng Tân Qu?, Tân Phú, H? Chí Minh",62,,,,,4,6,4,Have certificate,,6.9
"D? án Lavilla Green City, Ðý?ng Hùng Výõng, Phý?ng 6, Tân An, Long An",100,15,20,,,3,,,Have certificate,,3.9
"Ng? 387, Ph? V? Tông Phan, Phý?ng Khýõng Ð?nh, Thanh Xuân, Hà N?i",42,3.3,5,Nam,,4,5,4,Have certificate,Full,8.8
"Ðý?ng Nguy?n Vãn Kh?i, Phý?ng 9, G? V?p, H? Chí Minh",143,5,6,,,4,4,4,Have certificate,Full,9.3
"D? án Centa Riverside, Ðý?ng H?u Ngh?, Phý?ng Phù Ch?n, T? Sõn, B?c Ninh",180,9,40,Nam,Nam,3,5,4,Have certificate,Basic,9.7
"D? án The Crown - Vinhomes Ocean Park 3, X? Ngh?a Tr?, Vãn Giang, Hýng Yên",75,5,17,,,5,,,Have certificate,Basic,8.6
"D? án The Crown - Vinhomes Ocean Park 3, X? Ngh?a Tr?, Vãn Giang, Hýng Yên",78,6,,,,5,,,Have certificate,Basic,9.4
"Phý?ng Th?ch Bàn, Long Biên, Hà N?i",33,4.5,2.5,Nam,Nam,5,3,4,Have certificate,Full,4.15
"Ðý?ng T? Thanh Oai, X? T? Thanh Oai, Thanh Tr?, Hà N?i",31,,,,,5,,,Have certificate,,2.9
"Ðý?ng Hu?nh T?n Phát, Phý?ng Phú M?, Qu?n 7, H? Chí Minh",83.6,,,Tây,,4,4,5,Have certificate,,8.6
"S? 7H/15/351, Ðý?ng Âu Cõ, Phý?ng Nh?t Tân, Tây H?, Hà N?i",56,4.8,3,Ðông - Nam,Ðông - Nam,6,4,4,Have certificate,,5.3
"Ðý?ng CSEDP, Phý?ng Ðông V?, Thanh Hóa, Thanh Hóa.",90,5,17.5,Ðông - B?c,Ðông - B?c,4,4,5,Have certificate,,3.85
"Ng? 18, Ðý?ng Ngô Quy?n, Phý?ng Quang Trung, Hà Ðông, Hà N?i",55,4,5,,,5,6,5,Have certificate,Full,8.3
"Ðý?ng 5, Phý?ng B?nh Trýng Tây, Th? Ð?c, H? Chí Minh",50,9,,Nam,Nam,2,2,2,Have certificate,,3.9
"Ðý?ng Hi?p Thành 13, Phý?ng Hi?p Thành, Qu?n 12, H? Chí Minh",65,,8,,,4,4,5,,,4.2
"Phý?ng V?nh Hýng, Hoàng Mai, Hà N?i",60,,,,,,,,Have certificate,,4.3
"D? án KVG The Capella Nha Trang, Ðý?ng V? Nguyên Giáp, X? V?nh Thái, Nha Trang, Khánh H?a",100,5,15,Ðông - Nam,Ðông - Nam,3,3,4,Sale contract,,3.95
"D? án Thanh Hà Mý?ng Thanh, Phý?ng Ki?n Hýng, Hà Ðông, Hà N?i",33,,,,,,1,1,Sale contract,,1.4
"X? V?nh Qu?nh, Thanh Tr?, Hà N?i",60,,2,,,3,3,3,Have certificate,,4.7
"Ðý?ng C? Linh, Phý?ng Th?ch Bàn, Long Biên, Hà N?i",70,,,,,5,5,4,,,6.9
"H?m 183, Ðý?ng 3/2, Phý?ng 11, Qu?n 10, H? Chí Minh",40,,5,Tây,,4,5,4,Have certificate,Full,9.1
"S? 3/83 ng? 61, Ðý?ng Ph? Tr?m, Phý?ng Long Biên, Long Biên, Hà N?i",40,,,Ðông - Nam,,5,6,3,,,6.25
"Ðý?ng An Dýõng Výõng, Phý?ng 10, Qu?n 6, H? Chí Minh",66,4,12,,,4,5,3,Have certificate,,8.95
"89, Ðý?ng L?c Long Quân, Phý?ng Ngh?a Ðô, C?u Gi?y, Hà N?i",35,,,,,4,4,3,Have certificate,Full,6.25
"Ðý?ng Tân K? Tân Qu?, Phý?ng Tân Sõn Nh?, Tân Phú, H? Chí Minh",74,,,,,2,4,3,Have certificate,Full,6.83
"H?m 701, Ph? Tr?n Xuân So?n, Phý?ng Tân Hýng, Qu?n 7, H? Chí Minh",45,,,,,2,2,2,Have certificate,,4.4
"Phý?ng Th?ch Bàn, Long Biên, Hà N?i",70,,,,,,,,Have certificate,Basic,6.8
"D? án The Origami, Ðý?ng Nguy?n Xi?n, Phý?ng Long Th?nh M?, Qu?n 9, H? Chí Minh",45,,24,Ðông - Nam,,,,,Sale contract,Basic,7
"D? án The Standard, Ðý?ng Tân Phý?c Khánh 10, Phý?ng Tân Phý?c Khánh, Tân Uyên, B?nh Dýõng",85,,18,Tây - B?c,,2,4,4,Have certificate,,5.9
"Ðý?ng Ph? Tr?m, Phý?ng Th?ch Bàn, Long Biên, Hà N?i",48,,2.5,,,4,5,,Have certificate,Basic,6.4
"Phý?ng Hi?p B?nh Chánh, Th? Ð?c, H? Chí Minh",56.1,4.2,,,,4,4,3,Have certificate,,6.3
"Ðý?ng Trýõng Ð?nh, Phý?ng Týõng Mai, Hoàng Mai, Hà N?i",40,,,,,5,,,,,7.48
"X? Ðông La, Hoài Ð?c, Hà N?i",36.5,3.6,4,,,6,3,4,Have certificate,Basic,4.1
"Phý?ng Th?ch Bàn, Long Biên, Hà N?i",36,,,,,4,,,Have certificate,,7.49
"Ðý?ng Trýõng Phý?c Phan, Phý?ng B?nh Tr? Ðông, B?nh Tân, H? Chí Minh",64,4,6,Tây,Tây,5,4,5,Have certificate,Basic,6.7
"S? 43A ng? 88, Ph? Kim Hoa, Phý?ng Phýõng Liên, Ð?ng Ða, Hà N?i",12,3,3,Ðông - B?c,Ðông - B?c,5,3,4,,,1.8
"D? án Waterpoint, Ðý?ng T?nh l? 824, X? An Th?nh, B?n L?c, Long An",90,,,,,,3,2,Have certificate,,3.2
"Ph? C?u C?c, Phý?ng Tây M?, Nam T? Liêm, Hà N?i.",53,4.3,22,Ðông,Ðông,5,6,5,Have certificate,Basic,6.39
"168/86// Ðý?ng B?nh Tr? Ðông, Phý?ng B?nh Tr? Ðông, B?nh Tân, H? Chí Minh",96,5.5,,Ðông - Nam,,2,5,5,Have certificate,Full,8.5
"Ðý?ng Tô Hi?n Thành, Phý?ng 14, Qu?n 10, H? Chí Minh",31,6.2,6,Tây - B?c,Tây - B?c,3,4,3,Have certificate,Full,6.8
"Ðý?ng Nguy?n Tr?i, Phý?ng Thanh Xuân Trung, Thanh Xuân, Hà N?i",56,3.85,2.8,,,4,4,5,Have certificate,Full,8.5
